text,type,competency_name,competency_level,points,explanation,correct_answer,option_1_text,option_1_is_correct,option_2_text,option_2_is_correct,option_3_text,option_3_is_correct,option_4_text,option_4_is_correct
You are compiling training requirements from several departments. What is the BEST first step?,MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Compiling input from IDPs and appraisals ensures training meets real needs.,Gather inputs from IDPs and performance appraisals,Gather inputs from IDPs and performance appraisals,True,Schedule courses randomly,False,Ignore manager requests,False,Select cheapest provider immediately,False
"When coordinating with a provider for a new course, what information should you provide first?",MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Objectives and audience profile help the provider customize content.,Training objectives and audience profile,Training objectives and audience profile,True,Venue decoration details,False,Catering preferences only,False,Trainer's accommodation options,False
You are compiling training requirements from several departments. What is the BEST first step?,MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Compiling input from IDPs and appraisals ensures training meets real needs.,Gather inputs from IDPs and performance appraisals,Gather inputs from IDPs and performance appraisals,True,Schedule courses randomly,False,Ignore manager requests,False,Select cheapest provider immediately,False
"When coordinating with a provider for a new course, what information should you provide first?",MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Objectives and audience profile help the provider customize content.,Training objectives and audience profile,Training objectives and audience profile,True,Venue decoration details,False,Catering preferences only,False,Trainer's accommodation options,False
You are compiling training requirements from several departments. What is the BEST first step?,MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Compiling input from IDPs and appraisals ensures training meets real needs.,Gather inputs from IDPs and performance appraisals,Gather inputs from IDPs and performance appraisals,True,Schedule courses randomly,False,Ignore manager requests,False,Select cheapest provider immediately,False
"When coordinating with a provider for a new course, what information should you provide first?",MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Objectives and audience profile help the provider customize content.,Training objectives and audience profile,Training objectives and audience profile,True,Venue decoration details,False,Catering preferences only,False,Trainer's accommodation options,False
You are compiling training requirements from several departments. What is the BEST first step?,MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Compiling input from IDPs and appraisals ensures training meets real needs.,Gather inputs from IDPs and performance appraisals,Gather inputs from IDPs and performance appraisals,True,Schedule courses randomly,False,Ignore manager requests,False,Select cheapest provider immediately,False
"When coordinating with a provider for a new course, what information should you provide first?",MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Objectives and audience profile help the provider customize content.,Training objectives and audience profile,Training objectives and audience profile,True,Venue decoration details,False,Catering preferences only,False,Trainer's accommodation options,False
You are compiling training requirements from several departments. What is the BEST first step?,MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Compiling input from IDPs and appraisals ensures training meets real needs.,Gather inputs from IDPs and performance appraisals,Gather inputs from IDPs and performance appraisals,True,Schedule courses randomly,False,Ignore manager requests,False,Select cheapest provider immediately,False
"When coordinating with a provider for a new course, what information should you provide first?",MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Objectives and audience profile help the provider customize content.,Training objectives and audience profile,Training objectives and audience profile,True,Venue decoration details,False,Catering preferences only,False,Trainer's accommodation options,False
You are compiling training requirements from several departments. What is the BEST first step?,MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Compiling input from IDPs and appraisals ensures training meets real needs.,Gather inputs from IDPs and performance appraisals,Gather inputs from IDPs and performance appraisals,True,Schedule courses randomly,False,Ignore manager requests,False,Select cheapest provider immediately,False
"When coordinating with a provider for a new course, what information should you provide first?",MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Objectives and audience profile help the provider customize content.,Training objectives and audience profile,Training objectives and audience profile,True,Venue decoration details,False,Catering preferences only,False,Trainer's accommodation options,False
You are compiling training requirements from several departments. What is the BEST first step?,MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Compiling input from IDPs and appraisals ensures training meets real needs.,Gather inputs from IDPs and performance appraisals,Gather inputs from IDPs and performance appraisals,True,Schedule courses randomly,False,Ignore manager requests,False,Select cheapest provider immediately,False
"When coordinating with a provider for a new course, what information should you provide first?",MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Objectives and audience profile help the provider customize content.,Training objectives and audience profile,Training objectives and audience profile,True,Venue decoration details,False,Catering preferences only,False,Trainer's accommodation options,False
You are compiling training requirements from several departments. What is the BEST first step?,MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Compiling input from IDPs and appraisals ensures training meets real needs.,Gather inputs from IDPs and performance appraisals,Gather inputs from IDPs and performance appraisals,True,Schedule courses randomly,False,Ignore manager requests,False,Select cheapest provider immediately,False
"When coordinating with a provider for a new course, what information should you provide first?",MULTIPLE_CHOICE,Learning and Development Planning,BASIC,1,Objectives and audience profile help the provider customize content.,Training objectives and audience profile,Training objectives and audience profile,True,Venue decoration details,False,Catering preferences only,False,Trainer's accommodation options,False
