Competency Code,ID,Name,Type,Family,Definition,Division,IsActive
"TECH-CERT-001","cmhrr6i8a00v2atz0e5hdpjc2","Aircraft Recovery (AR) KIT Management","TECHNICAL","Certification & Compliance","Knowledge and ability to plan, operate and maintain the AR KIT and SOPs in line with OEM requirements and safety procedures. Knowledge of the procedures anf regulatory requirements of aircraft recovery.","Compliance","true"
"TECH-CERT-002","cmhrr6i7100ncatz0zjebme66","Airport Certification Management","TECHNICAL","Certification & Compliance","Knowledge of international and local requirements to achieve a successful airport certification. Ability of populating and preparing the application and procedures required for certification including Aerodrome Manual, Emergency plan, Safety Management system, Security Program, wildlife plan, Maintenance plan, Fire Manual, as well as Driving Certification Process.","Compliance","true"
"TECH-CERT-003","cmhrr6i7l00r3atz0c8hvhoc3","Airport Risk Management","TECHNICAL","Certification & Compliance","Ability to identify and assess the undesired or adverse events that can lead to the occurrence of a hazard. Knowledge of both reactive and proactive methods and techniques for hazard identification. Ability to develop control measures against the identified risks.","Compliance","true"
"TECH-CERT-004","cmhrr6i7800olatz051v46aj6","Audit & Assessment","TECHNICAL","Certification & Compliance","Ability to plan and perform audit activities in all Airport operations in line with PACA and ICAO standards and regulations covering Safety Management Systems, Rescue and Firefighting, Wildlife and Foreign Object Management, Winter operations, Operation in reduced visibility and Runway Incursion Prevention. Ability to carry out investigations and inspections whenever needed and carry out competency assessment of Airport personnel on regular basis.","Compliance","true"
"TECH-CERT-005","cmhrr6i7t00sgatz0a1apblhz","Crisis Management","TECHNICAL","Certification & Compliance","Knowledge of the Emergency guidelines and actions to be taken after a crisis has occurred. Knowledge of the potential impact of various types of crises and how to minimize the scope of damage. Abiliity to prepare an action plan addressing various kinds of crisis in order to minimize the damage.","Compliance","true"
"TECH-CERT-006","cmhrr6i6v00m5atz0cgs3owmn","Knowledge of Regulations(Strategy)","TECHNICAL","Certification & Compliance","Knowledge and understanding of the international standards and regulations of ICAO and PACA, compliance standards and operations, as well as safety and security regulations. Knoweldge and understanding of the Obstacle Limitation Surfaces (OLS)","Strategy and Planing","true"
"TECH-CERT-007","cmhrr6i7f00puatz01atkyytz","Stakeholder Management(C&C)","TECHNICAL","Certification & Compliance","Understanding of the various stakeholders mainly Oman Air, PACA and ROP, involved in airport operations and an ability to liaise with them for auditing and certification procedure, simulations, emergency situations, action planning and training.","Compliance","true"
"TECH-CERT-008","cmhrr6i8000ttatz08qpqvd8j","Standard Operating Procedure (SOP)  Management","TECHNICAL","Certification & Compliance","Ability to examine existing SOPs, identify shortfalls, and develop an action plan. Ability to prepare comprehensive set of SOPs through effective data collection, documentation, developing formats, reviewing the approval process. Ability to identify the requirements and systems needed to ensure that new SOPs are understood and implemented correctly.","Compliance","true"
"TECH-COMM-001","cmhrr6izw056satz0uje0en33","Aviation Industry Knowledge (Commercial)","TECHNICAL","Commercial","It is the understanding of the aviation industry business operations, the internal (knowledge, management, and workforce) and external (economy, competitors, and technology) driving forces, passenger growth, socio-economic factors impacting the aviation industry, and market dynamics. It also includes an overview of the business operations, key cost components, revenue and profitability drivers, and key performance matrices.","Commercial","true"
"TECH-COMM-002","cmhrr6j2p05mtatz0wi25otvy","Billing and Invoicing","TECHNICAL","Commercial","It is the understanding of the billing and invoicing process applicable to various accounts (aero and non aero) at OA. It includes an understanding of the billing terms and conditions, milestones and other applicable KPIs. It also includes an understanding of the MIS covering the billing and collections and an ability to follow up with the customers on payments.","Commercial","true"
