text,type,competency_name,competency_level,points,explanation,correct_answer,option_1_text,option_1_is_correct,option_2_text,option_2_is_correct,option_3_text,option_3_is_correct,option_4_text,option_4_is_correct
Compiles information on available training programs – which activity does this align with?,MULTIPLE_CHOICE,Learning and Development Execution,BASIC,1,The correct answer is Developing annual calendar. This reflects the basic level competency.,Developing annual calendar,Collecting training feedback,False,Developing annual calendar,True,Tracking best practices,False,Analyzing ROI,False
True or False: Handles post-training formalities like attendance and feedback,TRUE_FALSE,Learning and Development Execution,BASIC,1,This statement is True at the basic level.,True,True,True,False,False,,,,
Coordinates with trainers and participants – which activity does this align with?,MULTIPLE_CHOICE,Learning and Development Execution,BASIC,1,The correct answer is Developing annual calendar. This reflects the basic level competency.,Developing annual calendar,Collecting training feedback,False,Developing annual calendar,True,Tracking best practices,False,Analyzing ROI,False
True or False: Compiles information on available training programs,TRUE_FALSE,Learning and Development Execution,BASIC,1,This statement is False at the basic level.,False,True,False,False,True,,,,
Coordinates with trainers and participants – which activity does this align with?,MULTIPLE_CHOICE,Learning and Development Execution,BASIC,1,The correct answer is Collecting training feedback. This reflects the basic level competency.,Collecting training feedback,Collecting training feedback,True,Developing annual calendar,False,Tracking best practices,False,Analyzing ROI,False
True or False: Coordinates with trainers and participants,TRUE_FALSE,Learning and Development Execution,BASIC,1,This statement is True at the basic level.,True,True,True,False,False,,,,
Understands the process and importance of developing a training plan – which activity does this align with?,MULTIPLE_CHOICE,Learning and Development Execution,BASIC,1,The correct answer is Analyzing ROI. This reflects the basic level competency.,Analyzing ROI,Collecting training feedback,False,Developing annual calendar,False,Tracking best practices,False,Analyzing ROI,True
True or False: Compiles information on available training programs,TRUE_FALSE,Learning and Development Execution,BASIC,1,This statement is True at the basic level.,True,True,True,False,False,,,,
Understands the process and importance of developing a training plan – which activity does this align with?,MULTIPLE_CHOICE,Learning and Development Execution,BASIC,1,The correct answer is Tracking best practices. This reflects the basic level competency.,Tracking best practices,Collecting training feedback,False,Developing annual calendar,False,Tracking best practices,True,Analyzing ROI,False
True or False: Understands the process and importance of developing a training plan,TRUE_FALSE,Learning and Development Execution,BASIC,1,This statement is True at the basic level.,True,True,True,False,False,,,,
